E	1	32	1
E	1	2	1
E	1	3	1
E	1	4	1
E	1	5	1
E	1	6	1
E	1	7	1
E	1	8	1
E	1	9	1
E	1	11	1
E	1	12	1
E	1	13	1
E	1	14	1
E	1	18	1
E	1	20	1
E	1	22	1
E	2	3	1
E	2	4	1
E	2	8	1
E	2	14	1
E	2	18	1
E	2	20	1
E	2	22	1
E	2	31	1
E	3	4	1
E	3	33	1
E	3	8	1
E	3	9	1
E	3	10	1
E	3	14	1
E	3	28	1
E	3	29	1
E	4	8	1
E	4	13	1
E	4	14	1
E	5	11	1
E	5	7	1
E	6	7	1
E	6	11	1
E	6	17	1
E	7	17	1
E	9	31	1
E	9	34	1
E	9	33	1
E	10	34	1
E	14	34	1
E	15	33	1
E	15	34	1
E	16	33	1
E	16	34	1
E	19	33	1
E	19	34	1
E	20	34	1
E	21	33	1
E	21	34	1
E	23	33	1
E	23	34	1
E	24	33	1
E	24	26	1
E	24	28	1
E	24	34	1
E	24	30	1
E	25	32	1
E	25	26	1
E	25	28	1
E	26	32	1
E	27	34	1
E	27	30	1
E	28	34	1
E	29	32	1
E	29	34	1
E	30	33	1
E	30	34	1
E	31	34	1
E	31	33	1
E	32	33	1
E	32	34	1
E	33	34	1
